"X"	"Y"	"queClase"	"clases"
0.0121	1	21	"(0,0.75]"
-13.4	0	3	"(-13.5,-12.8]"
-6.66	0	12	"(-6.75,-6]"
0.523	0	21	"(0,0.75]"
2.2	0	23	"(1.5,2.25]"
-4.13	1	15	"(-4.5,-3.75]"
13.2	1	38	"(12.8,13.5]"
12.2	1	37	"(12,12.8]"
-8.8	0	9	"(-9,-8.25]"
6.44	1	29	"(6,6.75]"
-9.36	0	8	"(-9.75,-9]"
-3.83	1	15	"(-4.5,-3.75]"
-14.9	0	1	"[-15,-14.2]"
-3.28	0	16	"(-3.75,-3]"
-11.9	0	5	"(-12,-11.2]"
-6.8	0	11	"(-7.5,-6.75]"
9.13	1	33	"(9,9.75]"
7.33	1	30	"(6.75,7.5]"
6.83	1	30	"(6.75,7.5]"
9.08	1	33	"(9,9.75]"
3.46	1	25	"(3,3.75]"
3.87	1	26	"(3.75,4.5]"
-0.949	0	19	"(-1.5,-0.75]"
-9	0	9	"(-9.75,-9]"
-5.77	0	13	"(-6,-5.25]"
9.92	1	34	"(9.75,10.5]"
-1.22	1	19	"(-1.5,-0.75]"
10.5	1	34	"(9.75,10.5]"
8.92	1	32	"(8.25,9]"
13.1	1	38	"(12.8,13.5]"
13.8	1	39	"(13.5,14.2]"
-4.5	0	14	"(-5.25,-4.5]"
10.9	1	35	"(10.5,11.2]"
9.98	1	34	"(9.75,10.5]"
3.32	1	25	"(3,3.75]"
-6.21	0	12	"(-6.75,-6]"
10.3	1	34	"(9.75,10.5]"
4.2	1	26	"(3.75,4.5]"
-13	0	3	"(-13.5,-12.8]"
-4.42	1	15	"(-4.5,-3.75]"
9.22	1	33	"(9,9.75]"
-10.5	0	7	"(-11.2,-10.5]"
-6.89	0	11	"(-7.5,-6.75]"
-7.26	0	11	"(-7.5,-6.75]"
-6.18	0	12	"(-6.75,-6]"
-2.05	0	18	"(-2.25,-1.5]"
-13.6	0	2	"(-14.2,-13.5]"
6.5	1	29	"(6,6.75]"
-14.4	0	1	"[-15,-14.2]"
-11.4	0	5	"(-12,-11.2]"
13.5	1	38	"(12.8,13.5]"
-5.43	0	13	"(-6,-5.25]"
9.45	1	33	"(9,9.75]"
11.5	1	36	"(11.2,12]"
8.24	1	31	"(7.5,8.25]"
-2.33	0	17	"(-3,-2.25]"
-1.5	1	19	"(-2.25,-1.5]"
-8.89	0	9	"(-9,-8.25]"
0.728	1	21	"(0,0.75]"
-1.04	0	19	"(-1.5,-0.75]"
-3.8	0	15	"(-4.5,-3.75]"
-3.35	0	16	"(-3.75,-3]"
7.42	1	30	"(6.75,7.5]"
-14.6	0	1	"[-15,-14.2]"
-14.8	0	1	"[-15,-14.2]"
-10	0	7	"(-10.5,-9.75]"
-13.1	0	3	"(-13.5,-12.8]"
-0.262	1	20	"(-0.75,0]"
13	1	38	"(12.8,13.5]"
9.56	1	33	"(9,9.75]"
4.11	0	26	"(3.75,4.5]"
-11	0	6	"(-11.2,-10.5]"
7.34	1	30	"(6.75,7.5]"
-14.3	0	1	"[-15,-14.2]"
13.4	1	38	"(12.8,13.5]"
-4.58	0	14	"(-5.25,-4.5]"
9.22	1	33	"(9,9.75]"
-6.12	0	12	"(-6.75,-6]"
-10.1	0	7	"(-10.5,-9.75]"
6.4	0	29	"(6,6.75]"
2.82	1	24	"(2.25,3]"
13.5	1	38	"(12.8,13.5]"
-1.21	1	19	"(-1.5,-0.75]"
11.8	1	36	"(11.2,12]"
-8.6	0	9	"(-9,-8.25]"
-2.7	0	17	"(-3,-2.25]"
1.27	1	22	"(0.75,1.5]"
-4.38	0	15	"(-4.5,-3.75]"
6.47	1	29	"(6,6.75]"
-3.35	0	16	"(-3.75,-3]"
7.12	1	30	"(6.75,7.5]"
-12.4	0	4	"(-12.8,-12]"
13.9	1	39	"(13.5,14.2]"
-12	0	5	"(-12.8,-12]"
7.85	1	31	"(7.5,8.25]"
-7.43	0	11	"(-7.5,-6.75]"
4.23	0	26	"(3.75,4.5]"
-8.02	0	10	"(-8.25,-7.5]"
-14.8	0	1	"[-15,-14.2]"
13.9	1	39	"(13.5,14.2]"
8.17	1	31	"(7.5,8.25]"
-13.5	0	2	"(-14.2,-13.5]"
2.84	1	24	"(2.25,3]"
8.28	1	32	"(8.25,9]"
2.17	1	23	"(1.5,2.25]"
-8	0	10	"(-8.25,-7.5]"
-12.4	0	4	"(-12.8,-12]"
-1.03	0	19	"(-1.5,-0.75]"
0.395	0	21	"(0,0.75]"
-9.36	0	8	"(-9.75,-9]"
14	1	39	"(13.5,14.2]"
13	1	38	"(12.8,13.5]"
5.58	1	28	"(5.25,6]"
5.48	1	28	"(5.25,6]"
0.108	1	21	"(0,0.75]"
14.2	1	39	"(13.5,14.2]"
-3.9	0	15	"(-4.5,-3.75]"
-0.126	0	20	"(-0.75,0]"
-9.43	0	8	"(-9.75,-9]"
-5.32	0	13	"(-6,-5.25]"
-5	0	14	"(-5.25,-4.5]"
2.38	0	24	"(2.25,3]"
1.18	1	22	"(0.75,1.5]"
-7.75	0	10	"(-8.25,-7.5]"
8.59	1	32	"(8.25,9]"
-5.28	0	13	"(-6,-5.25]"
7.4	1	30	"(6.75,7.5]"
-11.3	0	5	"(-12,-11.2]"
0.586	0	21	"(0,0.75]"
10.6	1	35	"(10.5,11.2]"
-0.543	1	20	"(-0.75,0]"
-13.6	0	2	"(-14.2,-13.5]"
3.68	1	25	"(3,3.75]"
8.45	1	32	"(8.25,9]"
13.6	1	39	"(13.5,14.2]"
3.79	1	26	"(3.75,4.5]"
-5.8	0	13	"(-6,-5.25]"
-10.4	0	7	"(-10.5,-9.75]"
-2.02	0	18	"(-2.25,-1.5]"
6.13	1	29	"(6,6.75]"
7.17	1	30	"(6.75,7.5]"
10.3	1	34	"(9.75,10.5]"
7.82	1	31	"(7.5,8.25]"
-6.16	0	12	"(-6.75,-6]"
11.6	1	36	"(11.2,12]"
-3.91	0	15	"(-4.5,-3.75]"
-4.12	1	15	"(-4.5,-3.75]"
-2.25	0	18	"(-3,-2.25]"
3.3	1	25	"(3,3.75]"
-3.13	1	16	"(-3.75,-3]"
7.71	1	31	"(7.5,8.25]"
14.2	1	39	"(13.5,14.2]"
4.67	0	27	"(4.5,5.25]"
6.2	1	29	"(6,6.75]"
-11.7	0	5	"(-12,-11.2]"
-5.96	0	13	"(-6,-5.25]"
11.7	1	36	"(11.2,12]"
-2.69	1	17	"(-3,-2.25]"
-15	0	1	"[-15,-14.2]"
7.54	1	31	"(7.5,8.25]"
6.05	1	29	"(6,6.75]"
3.46	0	25	"(3,3.75]"
-12.9	0	3	"(-13.5,-12.8]"
-7.13	0	11	"(-7.5,-6.75]"
-9.79	0	7	"(-10.5,-9.75]"
-6.23	0	12	"(-6.75,-6]"
5.48	1	28	"(5.25,6]"
1.69	1	23	"(1.5,2.25]"
10.3	1	34	"(9.75,10.5]"
-9.8	0	7	"(-10.5,-9.75]"
-13.9	0	2	"(-14.2,-13.5]"
-2.52	1	17	"(-3,-2.25]"
8.76	1	32	"(8.25,9]"
-1.65	1	18	"(-2.25,-1.5]"
7.07	1	30	"(6.75,7.5]"
-12.3	0	4	"(-12.8,-12]"
-3.14	0	16	"(-3.75,-3]"
0.42	0	21	"(0,0.75]"
-7.48	0	11	"(-7.5,-6.75]"
5.22	0	27	"(4.5,5.25]"
9.15	1	33	"(9,9.75]"
-7.23	0	11	"(-7.5,-6.75]"
-12.7	0	4	"(-12.8,-12]"
-10.6	0	6	"(-11.2,-10.5]"
6.38	1	29	"(6,6.75]"
-12.2	0	4	"(-12.8,-12]"
3.56	0	25	"(3,3.75]"
-0.723	1	20	"(-0.75,0]"
1.65	1	23	"(1.5,2.25]"
-1.77	0	18	"(-2.25,-1.5]"
1.02	0	22	"(0.75,1.5]"
-5.94	0	13	"(-6,-5.25]"
4.71	0	27	"(4.5,5.25]"
6.46	1	29	"(6,6.75]"
4.53	1	27	"(4.5,5.25]"
14.1	1	39	"(13.5,14.2]"
-5.69	1	13	"(-6,-5.25]"
-8.02	0	10	"(-8.25,-7.5]"
-7.83	0	10	"(-8.25,-7.5]"
-13.4	0	3	"(-13.5,-12.8]"
-14.1	0	2	"(-14.2,-13.5]"
13.9	1	39	"(13.5,14.2]"
6.48	1	29	"(6,6.75]"
6.9	1	30	"(6.75,7.5]"
-9.27	0	8	"(-9.75,-9]"
-12.3	0	4	"(-12.8,-12]"
-3.25	1	16	"(-3.75,-3]"
5.15	1	27	"(4.5,5.25]"
1.82	1	23	"(1.5,2.25]"
14.4	1	40	"(14.2,15]"
-6.36	0	12	"(-6.75,-6]"
2.75	0	24	"(2.25,3]"
7.21	1	30	"(6.75,7.5]"
-1.07	1	19	"(-1.5,-0.75]"
-2.23	0	18	"(-2.25,-1.5]"
-3.46	1	16	"(-3.75,-3]"
2.21	0	23	"(1.5,2.25]"
6.29	0	29	"(6,6.75]"
-1.66	1	18	"(-2.25,-1.5]"
-4.24	0	15	"(-4.5,-3.75]"
1.23	1	22	"(0.75,1.5]"
-10.9	0	6	"(-11.2,-10.5]"
-14.7	0	1	"[-15,-14.2]"
-14.7	0	1	"[-15,-14.2]"
-3.26	1	16	"(-3.75,-3]"
-2.87	0	17	"(-3,-2.25]"
-5.19	0	14	"(-5.25,-4.5]"
-8.45	0	9	"(-9,-8.25]"
7.25	1	30	"(6.75,7.5]"
1.11	0	22	"(0.75,1.5]"
7.84	1	31	"(7.5,8.25]"
-8.9	0	9	"(-9,-8.25]"
-1.55	0	18	"(-2.25,-1.5]"
-10.7	0	6	"(-11.2,-10.5]"
0.0462	1	21	"(0,0.75]"
-6.67	0	12	"(-6.75,-6]"
-11.3	0	5	"(-12,-11.2]"
12.4	1	37	"(12,12.8]"
13.8	1	39	"(13.5,14.2]"
2.65	0	24	"(2.25,3]"
-7.42	0	11	"(-7.5,-6.75]"
3.61	0	25	"(3,3.75]"
-9.69	0	8	"(-9.75,-9]"
-5.93	0	13	"(-6,-5.25]"
6.6	1	29	"(6,6.75]"
-6.91	0	11	"(-7.5,-6.75]"
2.33	0	24	"(2.25,3]"
2.48	1	24	"(2.25,3]"
-14	0	2	"(-14.2,-13.5]"
-2.17	1	18	"(-2.25,-1.5]"
-8.85	0	9	"(-9,-8.25]"
13.5	1	39	"(12.8,13.5]"
11.9	1	36	"(11.2,12]"
-14.3	0	1	"[-15,-14.2]"
-13.8	0	2	"(-14.2,-13.5]"
12.3	1	37	"(12,12.8]"
14.1	1	39	"(13.5,14.2]"
-11.4	0	5	"(-12,-11.2]"
-9.07	0	8	"(-9.75,-9]"
-9.68	0	8	"(-9.75,-9]"
0.288	1	21	"(0,0.75]"
2.5	0	24	"(2.25,3]"
9.83	1	34	"(9.75,10.5]"
8.25	1	32	"(7.5,8.25]"
12.9	1	38	"(12.8,13.5]"
-3.54	0	16	"(-3.75,-3]"
10.6	1	35	"(10.5,11.2]"
-1.83	1	18	"(-2.25,-1.5]"
12.2	1	37	"(12,12.8]"
-8.23	0	10	"(-8.25,-7.5]"
7.69	1	31	"(7.5,8.25]"
-3.25	1	16	"(-3.75,-3]"
-1.48	1	19	"(-1.5,-0.75]"
-6.49	0	12	"(-6.75,-6]"
-1.56	0	18	"(-2.25,-1.5]"
3.65	1	25	"(3,3.75]"
1.24	1	22	"(0.75,1.5]"
3.01	1	25	"(3,3.75]"
1.51	0	23	"(1.5,2.25]"
13.3	1	38	"(12.8,13.5]"
-10.4	0	7	"(-10.5,-9.75]"
4.04	0	26	"(3.75,4.5]"
-2.34	1	17	"(-3,-2.25]"
-4.46	1	15	"(-4.5,-3.75]"
0.632	1	21	"(0,0.75]"
5.85	1	28	"(5.25,6]"
8.09	1	31	"(7.5,8.25]"
11	1	35	"(10.5,11.2]"
8.66	1	32	"(8.25,9]"
-1.36	1	19	"(-1.5,-0.75]"
-7.96	0	10	"(-8.25,-7.5]"
8.75	1	32	"(8.25,9]"
2.74	1	24	"(2.25,3]"
-0.763	1	19	"(-1.5,-0.75]"
-1.66	0	18	"(-2.25,-1.5]"
5.68	0	28	"(5.25,6]"
-6.47	0	12	"(-6.75,-6]"
-8.05	0	10	"(-8.25,-7.5]"
-8.32	0	9	"(-9,-8.25]"
-9.87	0	7	"(-10.5,-9.75]"
8.34	1	32	"(8.25,9]"
-6.03	0	12	"(-6.75,-6]"
-5.97	0	13	"(-6,-5.25]"
5.39	1	28	"(5.25,6]"
9.19	1	33	"(9,9.75]"
-3.34	0	16	"(-3.75,-3]"
8.73	1	32	"(8.25,9]"
-2.58	1	17	"(-3,-2.25]"
14.9	1	40	"(14.2,15]"
-6.84	0	11	"(-7.5,-6.75]"
-13.9	0	2	"(-14.2,-13.5]"
-14.4	0	1	"[-15,-14.2]"
-9.44	0	8	"(-9.75,-9]"
1.71	0	23	"(1.5,2.25]"
-10.3	0	7	"(-10.5,-9.75]"
4.88	1	27	"(4.5,5.25]"
6.94	1	30	"(6.75,7.5]"
-11.1	0	6	"(-11.2,-10.5]"
-7.74	0	10	"(-8.25,-7.5]"
-0.348	0	20	"(-0.75,0]"
13.5	1	38	"(12.8,13.5]"
13.4	1	38	"(12.8,13.5]"
-2.58	0	17	"(-3,-2.25]"
3.1	1	25	"(3,3.75]"
6.84	1	30	"(6.75,7.5]"
2.92	1	24	"(2.25,3]"
8.62	1	32	"(8.25,9]"
6.21	1	29	"(6,6.75]"
-0.891	1	19	"(-1.5,-0.75]"
-10.6	0	6	"(-11.2,-10.5]"
0.0101	1	21	"(0,0.75]"
3.75	1	25	"(3,3.75]"
13.2	1	38	"(12.8,13.5]"
-2.91	0	17	"(-3,-2.25]"
11.8	1	36	"(11.2,12]"
1.6	0	23	"(1.5,2.25]"
9.51	1	33	"(9,9.75]"
-1.34	0	19	"(-1.5,-0.75]"
-7.79	0	10	"(-8.25,-7.5]"
9.87	1	34	"(9.75,10.5]"
8.71	1	32	"(8.25,9]"
-6.2	0	12	"(-6.75,-6]"
6.86	1	30	"(6.75,7.5]"
10.1	1	34	"(9.75,10.5]"
-12.9	0	3	"(-13.5,-12.8]"
-9.7	0	8	"(-9.75,-9]"
2.57	0	24	"(2.25,3]"
7.06	1	30	"(6.75,7.5]"
4.05	1	26	"(3.75,4.5]"
13	1	38	"(12.8,13.5]"
3.23	0	25	"(3,3.75]"
-1.66	0	18	"(-2.25,-1.5]"
12.7	1	37	"(12,12.8]"
0.503	0	21	"(0,0.75]"
5.67	1	28	"(5.25,6]"
14.4	1	40	"(14.2,15]"
5	0	27	"(4.5,5.25]"
10.4	1	34	"(9.75,10.5]"
-13.6	0	2	"(-14.2,-13.5]"
1.4	1	22	"(0.75,1.5]"
4	0	26	"(3.75,4.5]"
9.85	1	34	"(9.75,10.5]"
4.82	0	27	"(4.5,5.25]"
-0.125	1	20	"(-0.75,0]"
-7	0	11	"(-7.5,-6.75]"
9.05	1	33	"(9,9.75]"
0.473	0	21	"(0,0.75]"
1.43	1	22	"(0.75,1.5]"
6.85	1	30	"(6.75,7.5]"
12	1	37	"(11.2,12]"
11.3	1	36	"(11.2,12]"
14.9	1	40	"(14.2,15]"
-1.15	0	19	"(-1.5,-0.75]"
12	1	36	"(11.2,12]"
-7.34	0	11	"(-7.5,-6.75]"
4.09	0	26	"(3.75,4.5]"
14.9	1	40	"(14.2,15]"
1.8	1	23	"(1.5,2.25]"
-5.36	0	13	"(-6,-5.25]"
10.2	1	34	"(9.75,10.5]"
-12.2	0	4	"(-12.8,-12]"
-9.41	0	8	"(-9.75,-9]"
4.77	0	27	"(4.5,5.25]"
-11.4	0	5	"(-12,-11.2]"
-13.4	0	3	"(-13.5,-12.8]"
-4.02	1	15	"(-4.5,-3.75]"
13.8	1	39	"(13.5,14.2]"
-4.78	0	14	"(-5.25,-4.5]"
0.156	0	21	"(0,0.75]"
4.9	1	27	"(4.5,5.25]"
5.8	1	28	"(5.25,6]"
1.66	1	23	"(1.5,2.25]"
-2.45	1	17	"(-3,-2.25]"
-2.26	0	17	"(-3,-2.25]"
-5.52	0	13	"(-6,-5.25]"
-1.31	0	19	"(-1.5,-0.75]"
7.34	1	30	"(6.75,7.5]"
-4.25	0	15	"(-4.5,-3.75]"
-8.58	0	9	"(-9,-8.25]"
10.4	1	34	"(9.75,10.5]"
-0.897	0	19	"(-1.5,-0.75]"
13	1	38	"(12.8,13.5]"
-10.5	0	6	"(-11.2,-10.5]"
-8.61	0	9	"(-9,-8.25]"
-14.3	0	1	"[-15,-14.2]"
3.62	1	25	"(3,3.75]"
0.501	1	21	"(0,0.75]"
-0.832	0	19	"(-1.5,-0.75]"
-10.7	0	6	"(-11.2,-10.5]"
-7.64	0	10	"(-8.25,-7.5]"
-10.2	0	7	"(-10.5,-9.75]"
4.09	1	26	"(3.75,4.5]"
7.45	1	30	"(6.75,7.5]"
-2.05	0	18	"(-2.25,-1.5]"
2.91	0	24	"(2.25,3]"
7.28	1	30	"(6.75,7.5]"
14.3	1	40	"(14.2,15]"
-6.22	0	12	"(-6.75,-6]"
11.5	1	36	"(11.2,12]"
9.81	1	34	"(9.75,10.5]"
-11.1	0	6	"(-11.2,-10.5]"
4.77	1	27	"(4.5,5.25]"
0.139	0	21	"(0,0.75]"
-7.12	0	11	"(-7.5,-6.75]"
2.69	0	24	"(2.25,3]"
2.47	1	24	"(2.25,3]"
-3.12	0	16	"(-3.75,-3]"
8.74	1	32	"(8.25,9]"
-3.93	1	15	"(-4.5,-3.75]"
-5.14	0	14	"(-5.25,-4.5]"
-12.3	0	4	"(-12.8,-12]"
10.5	1	34	"(9.75,10.5]"
-8.65	0	9	"(-9,-8.25]"
-0.808	1	19	"(-1.5,-0.75]"
10.8	1	35	"(10.5,11.2]"
13.8	1	39	"(13.5,14.2]"
-2.51	1	17	"(-3,-2.25]"
-8.23	0	10	"(-8.25,-7.5]"
-4.28	0	15	"(-4.5,-3.75]"
5.08	0	27	"(4.5,5.25]"
-1.23	0	19	"(-1.5,-0.75]"
-1.44	0	19	"(-1.5,-0.75]"
14.3	1	40	"(14.2,15]"
11.3	1	36	"(11.2,12]"
-3.53	0	16	"(-3.75,-3]"
-2.23	0	18	"(-2.25,-1.5]"
10.7	1	35	"(10.5,11.2]"
-11.7	0	5	"(-12,-11.2]"
14.3	1	40	"(14.2,15]"
6.08	1	29	"(6,6.75]"
-12.2	0	4	"(-12.8,-12]"
-6.42	0	12	"(-6.75,-6]"
-8.64	0	9	"(-9,-8.25]"
10.4	1	34	"(9.75,10.5]"
9.61	1	33	"(9,9.75]"
12.9	1	38	"(12.8,13.5]"
-12.4	0	4	"(-12.8,-12]"
12.4	1	37	"(12,12.8]"
-3.19	1	16	"(-3.75,-3]"
4.4	0	26	"(3.75,4.5]"
6.26	1	29	"(6,6.75]"
-12.4	0	4	"(-12.8,-12]"
-10.7	0	6	"(-11.2,-10.5]"
10.8	1	35	"(10.5,11.2]"
3.88	1	26	"(3.75,4.5]"
-1.48	1	19	"(-1.5,-0.75]"
-0.845	0	19	"(-1.5,-0.75]"
-13.9	0	2	"(-14.2,-13.5]"
-3.71	0	16	"(-3.75,-3]"
-4.98	0	14	"(-5.25,-4.5]"
-5.84	1	13	"(-6,-5.25]"
-5.02	0	14	"(-5.25,-4.5]"
11.1	1	35	"(10.5,11.2]"
-10.7	0	6	"(-11.2,-10.5]"
-2.66	0	17	"(-3,-2.25]"
12.1	1	37	"(12,12.8]"
10.2	1	34	"(9.75,10.5]"
-6.99	0	11	"(-7.5,-6.75]"
-3.35	1	16	"(-3.75,-3]"
-2.05	0	18	"(-2.25,-1.5]"
-12.8	0	3	"(-13.5,-12.8]"
3.14	1	25	"(3,3.75]"
-11.5	0	5	"(-12,-11.2]"
-5.9	0	13	"(-6,-5.25]"
9.75	1	34	"(9,9.75]"
7.81	1	31	"(7.5,8.25]"
-12.2	0	4	"(-12.8,-12]"
-0.564	1	20	"(-0.75,0]"
-14.8	0	1	"[-15,-14.2]"
0.409	0	21	"(0,0.75]"
-7	0	11	"(-7.5,-6.75]"
13.9	1	39	"(13.5,14.2]"
9.08	1	33	"(9,9.75]"
3.92	1	26	"(3.75,4.5]"
0.941	1	22	"(0.75,1.5]"
-3.21	1	16	"(-3.75,-3]"
10.2	1	34	"(9.75,10.5]"
12.9	1	38	"(12.8,13.5]"
7.45	1	30	"(6.75,7.5]"
5.39	1	28	"(5.25,6]"
-0.918	0	19	"(-1.5,-0.75]"
-0.634	1	20	"(-0.75,0]"
13.3	1	38	"(12.8,13.5]"
-6.52	0	12	"(-6.75,-6]"
3.98	1	26	"(3.75,4.5]"
-0.965	1	19	"(-1.5,-0.75]"
12.3	1	37	"(12,12.8]"
5.88	1	28	"(5.25,6]"
14.8	1	40	"(14.2,15]"
-1.62	1	18	"(-2.25,-1.5]"
4.89	0	27	"(4.5,5.25]"
-5.15	0	14	"(-5.25,-4.5]"
-13	0	3	"(-13.5,-12.8]"
-13.4	0	3	"(-13.5,-12.8]"
3.64	1	25	"(3,3.75]"
-4.21	0	15	"(-4.5,-3.75]"
-5.66	0	13	"(-6,-5.25]"
-12.3	0	4	"(-12.8,-12]"
-13.9	0	2	"(-14.2,-13.5]"
-9.66	0	8	"(-9.75,-9]"
11.3	1	36	"(11.2,12]"
-13.6	0	2	"(-14.2,-13.5]"
7.51	1	31	"(7.5,8.25]"
-10.3	0	7	"(-10.5,-9.75]"
10.6	1	35	"(10.5,11.2]"
-6.75	0	12	"(-7.5,-6.75]"
0.71	0	21	"(0,0.75]"
4.58	0	27	"(4.5,5.25]"
11.3	1	36	"(11.2,12]"
14.4	1	40	"(14.2,15]"
8.9	1	32	"(8.25,9]"
5.72	1	28	"(5.25,6]"
-1.78	0	18	"(-2.25,-1.5]"
-3.75	1	16	"(-4.5,-3.75]"
4.53	1	27	"(4.5,5.25]"
6.11	1	29	"(6,6.75]"
-0.608	0	20	"(-0.75,0]"
14.5	1	40	"(14.2,15]"
-13.8	0	2	"(-14.2,-13.5]"
-12.9	0	3	"(-13.5,-12.8]"
-10.8	0	6	"(-11.2,-10.5]"
5.65	1	28	"(5.25,6]"
-9.39	0	8	"(-9.75,-9]"
3.59	0	25	"(3,3.75]"
-9.91	0	7	"(-10.5,-9.75]"
8.78	1	32	"(8.25,9]"
-11.1	0	6	"(-11.2,-10.5]"
-12.6	0	4	"(-12.8,-12]"
-13.4	0	3	"(-13.5,-12.8]"
2.2	0	23	"(1.5,2.25]"
4.32	1	26	"(3.75,4.5]"
-4.04	1	15	"(-4.5,-3.75]"
3.02	1	25	"(3,3.75]"
-1.62	1	18	"(-2.25,-1.5]"
7.7	1	31	"(7.5,8.25]"
-5.34	0	13	"(-6,-5.25]"
-9.62	0	8	"(-9.75,-9]"
-1.21	1	19	"(-1.5,-0.75]"
9.5	1	33	"(9,9.75]"
1.93	1	23	"(1.5,2.25]"
10.4	1	34	"(9.75,10.5]"
13.8	1	39	"(13.5,14.2]"
-11.5	0	5	"(-12,-11.2]"
-2.67	0	17	"(-3,-2.25]"
2.99	0	24	"(2.25,3]"
-14.9	0	1	"[-15,-14.2]"
-12.7	0	4	"(-12.8,-12]"
0.866	0	22	"(0.75,1.5]"
7.98	1	31	"(7.5,8.25]"
-2.95	0	17	"(-3,-2.25]"
-12.3	0	4	"(-12.8,-12]"
6.7	1	29	"(6,6.75]"
7.38	1	30	"(6.75,7.5]"
-1.26	0	19	"(-1.5,-0.75]"
-7.82	0	10	"(-8.25,-7.5]"
-13.1	0	3	"(-13.5,-12.8]"
-2.51	0	17	"(-3,-2.25]"
8.21	1	31	"(7.5,8.25]"
10.3	1	34	"(9.75,10.5]"
5.53	1	28	"(5.25,6]"
-5.99	0	13	"(-6,-5.25]"
-14.8	0	1	"[-15,-14.2]"
-13.6	0	2	"(-14.2,-13.5]"
-13.6	0	2	"(-14.2,-13.5]"
-12.2	0	4	"(-12.8,-12]"
10.3	1	34	"(9.75,10.5]"
-13.1	0	3	"(-13.5,-12.8]"
-4.41	0	15	"(-4.5,-3.75]"
12.8	1	38	"(12.8,13.5]"
11.3	1	36	"(11.2,12]"
-7.39	0	11	"(-7.5,-6.75]"
-13.4	0	3	"(-13.5,-12.8]"
-11.4	0	5	"(-12,-11.2]"
8.33	1	32	"(8.25,9]"
-11.5	0	5	"(-12,-11.2]"
-2.49	1	17	"(-3,-2.25]"
-14.2	0	2	"(-14.2,-13.5]"
-9.35	0	8	"(-9.75,-9]"
-9.73	0	8	"(-9.75,-9]"
-2.31	1	17	"(-3,-2.25]"
-3.97	0	15	"(-4.5,-3.75]"
-13	0	3	"(-13.5,-12.8]"
-14.7	0	1	"[-15,-14.2]"
-8.54	0	9	"(-9,-8.25]"
-12.2	0	4	"(-12.8,-12]"
-3.86	0	15	"(-4.5,-3.75]"
-5	0	14	"(-5.25,-4.5]"
-11.2	0	6	"(-11.2,-10.5]"
-11.6	0	5	"(-12,-11.2]"
-2.32	1	17	"(-3,-2.25]"
-14.5	0	1	"[-15,-14.2]"
-11.3	0	5	"(-12,-11.2]"
3.77	1	26	"(3.75,4.5]"
5.39	1	28	"(5.25,6]"
-4.39	1	15	"(-4.5,-3.75]"
-9.95	0	7	"(-10.5,-9.75]"
-3.8	0	15	"(-4.5,-3.75]"
-14.6	0	1	"[-15,-14.2]"
5.7	1	28	"(5.25,6]"
8.1	1	31	"(7.5,8.25]"
-7.77	0	10	"(-8.25,-7.5]"
-3.45	0	16	"(-3.75,-3]"
-0.434	1	20	"(-0.75,0]"
13.4	1	38	"(12.8,13.5]"
7.13	1	30	"(6.75,7.5]"
12.2	1	37	"(12,12.8]"
-4.25	1	15	"(-4.5,-3.75]"
-10.3	0	7	"(-10.5,-9.75]"
-10.4	0	7	"(-10.5,-9.75]"
9.4	1	33	"(9,9.75]"
-5.3	0	13	"(-6,-5.25]"
-4.91	1	14	"(-5.25,-4.5]"
-4.12	0	15	"(-4.5,-3.75]"
14	1	39	"(13.5,14.2]"
-10.9	0	6	"(-11.2,-10.5]"
-15	0	1	"[-15,-14.2]"
14.9	1	40	"(14.2,15]"
13.1	1	38	"(12.8,13.5]"
-9.9	0	7	"(-10.5,-9.75]"
5.29	1	28	"(5.25,6]"
1.13	0	22	"(0.75,1.5]"
9.68	1	33	"(9,9.75]"
12.1	1	37	"(12,12.8]"
3.72	0	25	"(3,3.75]"
6.92	1	30	"(6.75,7.5]"
-15	0	1	"[-15,-14.2]"
-12	0	4	"(-12.8,-12]"
0.324	0	21	"(0,0.75]"
3.94	1	26	"(3.75,4.5]"
-1.22	1	19	"(-1.5,-0.75]"
-9.21	0	8	"(-9.75,-9]"
7.52	1	31	"(7.5,8.25]"
9.24	1	33	"(9,9.75]"
-8.22	0	10	"(-8.25,-7.5]"
9.96	1	34	"(9.75,10.5]"
6.24	1	29	"(6,6.75]"
13.7	1	39	"(13.5,14.2]"
10.6	1	35	"(10.5,11.2]"
-10.1	0	7	"(-10.5,-9.75]"
7.24	1	30	"(6.75,7.5]"
-2.82	0	17	"(-3,-2.25]"
7.71	1	31	"(7.5,8.25]"
12.1	1	37	"(12,12.8]"
11	1	35	"(10.5,11.2]"
2.15	1	23	"(1.5,2.25]"
13.7	1	39	"(13.5,14.2]"
-2.63	1	17	"(-3,-2.25]"
-0.965	1	19	"(-1.5,-0.75]"
1.16	1	22	"(0.75,1.5]"
0.395	0	21	"(0,0.75]"
9.5	1	33	"(9,9.75]"
-13.3	0	3	"(-13.5,-12.8]"
-12.4	0	4	"(-12.8,-12]"
-4.87	0	14	"(-5.25,-4.5]"
12.7	1	37	"(12,12.8]"
-8.68	0	9	"(-9,-8.25]"
-2.41	0	17	"(-3,-2.25]"
9.16	1	33	"(9,9.75]"
-6.91	0	11	"(-7.5,-6.75]"
-0.954	0	19	"(-1.5,-0.75]"
-15	0	1	"[-15,-14.2]"
0.432	1	21	"(0,0.75]"
